"lambda(microns),",Y
"10.8696,",0.0713096
"10.8804,",0.0700607
"10.8911,",0.0688482
"10.9019,",0.0676927
"10.9127,",0.0666152
"10.9236,",0.0656379
"10.9344,",0.0647827
"10.9453,",0.0640712
"10.9562,",0.0635238
"10.9671,",0.0631589
"10.9781,",0.0629924
"10.989,",0.0630364
"11,",0.0632995
"11.011,",0.0637854
"11.0221,",0.0644935
"11.0331,",0.0654188
"11.0442,",0.0665521
"11.0553,",0.0678808
"11.0664,",0.0693894
"11.0776,",0.07106
"11.0887,",0.0728734
"11.0999,",0.0748097
"11.1111,",0.0768484
"11.1224,",0.0789691
"11.1336,",0.0811521
"11.1449,",0.0833783
"11.1562,",0.0856292
"11.1675,",0.0878877
"11.1789,",0.0901375
"11.1903,",0.0923634
"11.2017,",0.0945513
"11.2131,",0.0966882
"11.2245,",0.0987622
"11.236,",0.100762
"11.2475,",0.102679
"11.259,",0.104502
"11.2705,",0.106225
"11.2821,",0.107841
"11.2937,",0.109342
"11.3053,",0.110725
"11.3169,",0.111983
"11.3286,",0.113115
"11.3402,",0.114117
"11.3519,",0.114987
"11.3637,",0.115724
"11.3754,",0.116327
"11.3872,",0.116798
"11.399,",0.117137
"11.4108,",0.117345
"11.4227,",0.117426
"11.4345,",0.117383
"11.4464,",0.117219
"11.4584,",0.116939
"11.4703,",0.116548
"11.4823,",0.116051
"11.4943,",0.115456
"11.5063,",0.114768
"11.5183,",0.113995
"11.5304,",0.113146
"11.5425,",0.112227
"11.5546,",0.111247
"11.5668,",0.110215
"11.579,",0.109141
"11.5912,",0.108034
"11.6034,",0.106902
"11.6156,",0.105755
"11.6279,",0.104604
"11.6402,",0.103456
"11.6526,",0.102321
"11.6649,",0.101208
"11.6773,",0.100125
"11.6897,",0.0990803
"11.7021,",0.0980802
"11.7146,",0.0971315
"11.7271,",0.09624
"11.7396,",0.0954103
"11.7522,",0.0946464
"11.7647,",0.0939509
"11.7773,",0.0933258
"11.7899,",0.0927717
"11.8026,",0.0922885
"11.8153,",0.0918747
"11.828,",0.0915282
"11.8407,",0.0912459
"11.8535,",0.0910238
"11.8662,",0.0908574
"11.8791,",0.0907416
"11.8919,",0.0906707
"11.9048,",0.0906387
"11.9177,",0.0906396
"11.9306,",0.090667
"11.9435,",0.0907147
"11.9565,",0.0907766
"11.9695,",0.0908466
"11.9826,",0.090919
"11.9956,",0.0909886
"12.0087,",0.0910504
"12.0219,",0.0910998
"12.035,",0.0911329
"12.0482,",0.0911462
