"lambda(microns),",Y
"10.8696,",0.081511
"10.8803,",0.0806586
"10.8911,",0.0797406
"10.9019,",0.0787636
"10.9127,",0.0777358
"10.9235,",0.0766668
"10.9344,",0.0755683
"10.9453,",0.0744537
"10.9562,",0.0733386
"10.9671,",0.0722404
"10.978,",0.0711789
"10.989,",0.0701759
"11,",0.0692549
"11.011,",0.0684413
"11.022,",0.0677615
"11.0331,",0.0672423
"11.0442,",0.0669106
"11.0553,",0.0667917
"11.0664,",0.0669089
"11.0775,",0.0672822
"11.0887,",0.0679273
"11.0999,",0.068855
"11.1111,",0.0700708
"11.1224,",0.0715745
"11.1336,",0.073361
"11.1449,",0.0754202
"11.1562,",0.0777384
"11.1675,",0.0802983
"11.1789,",0.0830805
"11.1902,",0.0860643
"11.2016,",0.0892275
"11.2131,",0.0925481
"11.2245,",0.0960038
"11.236,",0.0995729
"11.2474,",0.103234
"11.259,",0.106967
"11.2705,",0.110751
"11.2821,",0.114568
"11.2936,",0.1184
"11.3052,",0.122229
"11.3169,",0.126039
"11.3285,",0.129815
"11.3402,",0.133541
"11.3519,",0.137204
"11.3636,",0.14079
"11.3754,",0.144286
"11.3872,",0.147681
"11.399,",0.150964
"11.4108,",0.154124
"11.4226,",0.15715
"11.4345,",0.160035
"11.4464,",0.16277
"11.4583,",0.165346
"11.4703,",0.167757
"11.4823,",0.169997
"11.4943,",0.172059
"11.5063,",0.173938
"11.5183,",0.17563
"11.5304,",0.177132
"11.5425,",0.17844
"11.5546,",0.179552
"11.5668,",0.180466
"11.579,",0.181181
"11.5912,",0.181696
"11.6034,",0.182012
"11.6156,",0.182129
"11.6279,",0.182049
"11.6402,",0.181773
"11.6525,",0.181305
"11.6649,",0.180647
"11.6773,",0.179803
"11.6897,",0.178777
"11.7021,",0.177573
"11.7146,",0.176198
"11.7271,",0.174656
"11.7396,",0.172953
"11.7521,",0.171097
"11.7647,",0.169093
"11.7773,",0.166948
"11.7899,",0.164671
"11.8026,",0.162269
"11.8153,",0.159749
"11.828,",0.15712
"11.8407,",0.15439
"11.8535,",0.151569
"11.8662,",0.148663
"11.8791,",0.145683
"11.8919,",0.142637
"11.9048,",0.139533
"11.9177,",0.136381
"11.9306,",0.13319
"11.9435,",0.129968
"11.9565,",0.126724
"11.9695,",0.123468
"11.9826,",0.120207
"11.9956,",0.11695
"12.0087,",0.113707
"12.0219,",0.110485
"12.035,",0.107293
"12.0482,",0.104139
