"lambda(microns),",Y
"10.8696,",0.0669458
"10.8804,",0.0672828
"10.8911,",0.0677733
"10.9019,",0.0684159
"10.9127,",0.0692071
"10.9236,",0.0701411
"10.9344,",0.0712109
"10.9453,",0.072408
"10.9562,",0.0737227
"10.9671,",0.0751448
"10.9781,",0.0766636
"10.989,",0.0782683
"11,",0.0799484
"11.011,",0.0816933
"11.0221,",0.0834932
"11.0331,",0.0853389
"11.0442,",0.0872219
"11.0553,",0.0891343
"11.0664,",0.0910693
"11.0776,",0.0930208
"11.0887,",0.0949836
"11.0999,",0.0969533
"11.1111,",0.0989266
"11.1224,",0.100901
"11.1336,",0.102874
"11.1449,",0.104845
"11.1562,",0.106814
"11.1675,",0.108781
"11.1789,",0.110747
"11.1903,",0.112713
"11.2017,",0.114682
"11.2131,",0.116656
"11.2245,",0.118637
"11.236,",0.120629
"11.2475,",0.122636
"11.259,",0.12466
"11.2705,",0.126704
"11.2821,",0.128774
"11.2937,",0.13087
"11.3053,",0.132998
"11.3169,",0.135159
"11.3286,",0.137357
"11.3402,",0.139593
"11.3519,",0.141868
"11.3637,",0.144186
"11.3754,",0.146545
"11.3872,",0.148946
"11.399,",0.15139
"11.4108,",0.153874
"11.4227,",0.156397
"11.4345,",0.158958
"11.4464,",0.161553
"11.4584,",0.164179
"11.4703,",0.166832
"11.4823,",0.169508
"11.4943,",0.172203
"11.5063,",0.174911
"11.5183,",0.177626
"11.5304,",0.180343
"11.5425,",0.183056
"11.5546,",0.185757
"11.5668,",0.188442
"11.579,",0.191103
"11.5912,",0.193732
"11.6034,",0.196324
"11.6156,",0.198872
"11.6279,",0.201369
"11.6402,",0.203808
"11.6526,",0.206182
"11.6649,",0.208485
"11.6773,",0.210712
"11.6897,",0.212855
"11.7021,",0.214909
"11.7146,",0.216869
"11.7271,",0.218729
"11.7396,",0.220484
"11.7522,",0.222131
"11.7647,",0.223663
"11.7773,",0.225079
"11.7899,",0.226373
"11.8026,",0.227543
"11.8153,",0.228586
"11.828,",0.2295
"11.8407,",0.230282
"11.8535,",0.23093
"11.8662,",0.231444
"11.8791,",0.231823
"11.8919,",0.232065
"11.9048,",0.232171
"11.9177,",0.23214
"11.9306,",0.231973
"11.9435,",0.231671
"11.9565,",0.231234
"11.9695,",0.230665
"11.9826,",0.229965
"11.9956,",0.229135
"12.0087,",0.228179
"12.0219,",0.227097
"12.035,",0.225894
"12.0482,",0.224572
